Symbol
BINHO.IS
AVOD.IS
A1CAP.IS
ACP.IS
ACSEL.IS
ADEL.IS
ADESE.IS
ADGYO.IS
AFYON.IS
AGHOL.IS
AGESA.IS
AGROT.IS
AHGAZ.IS
AKSFA.IS
AKFK.IS
AKM.IS
AKMEN.IS
AKBNK.IS
AKCKM.IS
.IS
AKCNS.IS
AKDFA.IS
AKYHO.IS
AKENR.IS
AKFGY.IS
AKFYE.IS
ATEKS.IS
AKSGY.IS
AKMGY.IS
AKSA.IS
AKSEN.IS
AKGRT.IS
AKSUE.IS
AKTVK.IS
AFB.IS
AKTIF.IS
ALCAR.IS
ALGYO.IS
ALARK.IS
ALBRK.IS
ALK.IS
ALCTL.IS
ALFAS.IS
ALJF.IS
ALKIM.IS
ALKA.IS
ALNUS.IS
ANC.IS
ALFIN.IS
AYCES.IS
ALMAD.IS
ALVES.IS
ANSGR.IS
ANADOLU ANONİM TÜRK SİGORTA ŞİRKETİ.IS
AEFES.IS
ANHYT.IS
ASUZU.IS
ANGEN.IS
ANELE.IS
ARCLK.IS
ARDYZ.IS
ARENA.IS
ARNFK.IS
ARSAN.IS
ARTMS.IS
ARZUM.IS
ASGYO.IS
ASELS.IS
ASTOR.IS
ATAGY.IS
ATA.IS
ATAYM.IS
ATAKP.IS
AGYO.IS
ATLFA.IS
ATSYH.IS
ATLAS.IS
ATATP.IS
AVGYO.IS
AVTUR.IS
AVHOL.IS
AVPGY.IS
AYDEM.IS
AYEN.IS
AYES.IS
AYGAZ.IS
AZTEK.IS
BAGFS.IS
BAKAB.IS
BALAT.IS
BNTAS.IS
BANVT.IS
BARMA.IS
BASGZ.IS
BASCM.IS
BEGYO.IS
BTCIM.IS
BSOKE.IS
BYDNR.IS
BAYRK.IS
BERA.IS
BRKT.IS
BRKSN.IS
BJKAS.IS
BEYAZ.IS
BIENF.IS
BIENY.IS
BLCYT.IS
BLKOM.IS
BIMAS.IS
BIOEN.IS
BRKVY.IS
BRKO.IS
BRLSM.IS
BRMEN.IS
BIZIM.IS
BMSTL.IS
BMSCH.IS
BNPPI.IS
BNP PARIBAS ISSUANCE B.V..IS
.IS
BNPFK.IS
BOBET.IS
BORSK.IS
BORLS.IS
BRSAN.IS
BRYAT.IS
BFREN.IS
BOSSA.IS
BRISA.IS
BURCE.IS
BURVA.IS
BUCIM.IS
BVSAN.IS
BIGCH.IS
CRFSA.IS
CASA.IS
CEOEM.IS
CCOLA.IS
CONSE.IS
COSMO.IS
CRDFA.IS
CVKMD.IS
CWENE.IS
CAGFA.IS
CLDNM.IS
CANTE.IS
CATES.IS
CLEBI.IS
CELHA.IS
CLKMT.IS
CEMAS.IS
CEMTS.IS
CMBTN.IS
CMENT.IS
CIMSA.IS
CUSAN.IS
DYBNK.IS
DAGI.IS
DAGHL.IS
DAPGM.IS
DARDL.IS
DGATE.IS
DGRVK.IS
DMSAS.IS
DENGE.IS
DENFA.IS
DNFIN.IS
DZGYO.IS
DZY.IS
DZYMK.IS
DERIM.IS
DERHL.IS
DESA.IS
DESPC.IS
DEVA.IS
DNISI.IS
DIRIT.IS
DITAS.IS
DMRGD.IS
DOCO.IS
DO & CO AKTIENGESELLSCHAFT.IS
DOFER.IS
DOBUR.IS
DOHOL.IS
DTRND.IS
DGNMO.IS
ARASE.IS
DOGUB.IS
DGGYO.IS
DOAS.IS
DFKTR.IS
DOKTA.IS
DURDO.IS
DNYVA.IS
DYOBY.IS
EDATA.IS
EBEBK.IS
ECZYT.IS
EDIP.IS
EGEEN.IS
EGGUB.IS
EGPRO.IS
EGSER.IS
EPLAS.IS
ECILC.IS
EKER.IS
EKIZ.IS
EKOFA.IS
EKOS.IS
EKOVR.IS
.IS
EKSUN.IS
ELITE.IS
EMKEL.IS
EMNIS.IS
EMIRV.IS
EKTVK.IS
EKGYO.IS
EMVAR.IS
ENJSA.IS
ENERY.IS
ENKAI.IS
ENSRI.IS
ERBOS.IS
ERCB.IS
EREGL.IS
ERGLI.IS
KIMMR.IS
ERSU.IS
ESCAR.IS
ESCOM.IS
ESEN.IS
ETILR.IS
EUKYO.IS
EUYO.IS
ETYAT.IS
EUHOL.IS
TEZOL.IS
EUREN.IS
EUPWR.IS
EYGYO.IS
FADE.IS
FSDAT.IS
FMIZP.IS
FENER.IS
FIBAF.IS
FBB.IS
FBBNK.IS
FLAP.IS
FONET.IS
FROTO.IS
FORMT.IS
FORTE.IS
FRIGO.IS
FZLGY.IS
GWIND.IS
GSRAY.IS
GAPIN.IS
GARFA.IS
GARFL.IS
GRNYO.IS
GEDIK.IS
GEDZA.IS
GLCVY.IS
GENIL.IS
GENTS.IS
GEREL.IS
GZNMI.IS
GIPTA.IS
GMTAS.IS
GESAN.IS
GLB.IS
GLBMD.IS
GLYHO.IS
GGBVK.IS
GSIPD.IS
GOLDMAN SACHS INTERNATIONAL.IS
.IS
GOODY.IS
GOKNR.IS
GOLTS.IS
GOZDE.IS
GRTRK.IS
GSDDE.IS
GSDHO.IS
GUBRF.IS
GLRYH.IS
GRSEL.IS
SAHOL.IS
HALKF.IS
HLGYO.IS
HLVKS.IS
HALKI.IS
HLY.IS
HATSN.IS
HATEK.IS
HDFFL.IS
HDFGS.IS
HEDEF.IS
HEKTS.IS
HKTM.IS
HTTBT.IS
HUBVC.IS
HUNER.IS
HUZFA.IS
HURGZ.IS
ENTRA.IS
.IS
ICB.IS
ICBCT.IS
ICUGS.IS
INGRM.IS
INVEO.IS
IAZ.IS
INVAZ.IS
.IS
INVES.IS
ISKPL.IS
IEYHO.IS
IDGYO.IS
IHEVA.IS
IHLGM.IS
IHGZT.IS
IHAAS.IS
IHLAS.IS
IHYAY.IS
IMASM.IS
INDES.IS
INFO.IS
IYF.IS
INTEM.IS
IPEKE.IS
ISDMR.IS
ISTFK.IS
ISFAK.IS
ISFIN.IS
ISGYO.IS
ISGSY.IS
ISMEN.IS
IYM.IS
ISYAT.IS
ISBIR.IS
ISSEN.IS
IZINV.IS
IZENR.IS
IZMDC.IS
IZFAS.IS
JANTS.IS
KFEIN.IS
KLKIM.IS
KLSER.IS
KLVKS.IS
KAPTESTAS001.IS
TRAKAPTEST01.IS
KAPLM.IS
KRDMA.IS
KRDMB.IS
KRDMD.IS
KAREL.IS
KARSN.IS
KRTEK.IS
KARYE.IS
KARTN.IS
KATVK.IS
KTLEV.IS
KATMR.IS
KAYSE.IS
KNTFA.IS
KENT.IS
KERVT.IS
KRVGD.IS
KERVN.IS
KZBGY.IS
KLGYO.IS
KLRHO.IS
KMPUR.IS
KLMSN.IS
KCAER.IS
KFKTF.IS
KOCFN.IS
KCHOL.IS
KCSIS.IS
KLSYN.IS
KNFRT.IS
KONTR.IS
KONYA.IS
KONKA.IS
KGYO.IS
KORDS.IS
KRPLS.IS
KORTS.IS
KOTON.IS
KOZAL.IS
KOZAA.IS
KOPOL.IS
KRGYO.IS
KRSTL.IS
KRONT.IS
KTKVK.IS
KSTUR.IS
KUVVA.IS
KUYAS.IS
KBORU.IS
KZGYO.IS
KUTPO.IS
KTSKR.IS
LIDER.IS
LIDFA.IS
LILAK.IS
.IS
LMKDC.IS
LINK.IS
LOGO.IS
LKMNH.IS
LRSHO.IS
LUKSK.IS
MACKO.IS
MAKIM.IS
MAKTK.IS
MANAS.IS
MRBAS.IS
MRS.IS
MAGEN.IS
MRMAG.IS
MARKA.IS
MAALT.IS
MRSHL.IS
MRGYO.IS
MARTI.IS
MTRKS.IS
MAVI.IS
MZHLD.IS
MEDTR.IS
MEGMT.IS
MEGAP.IS
MEKAG.IS
MEKMD.IS
MSA.IS
MNDRS.IS
MEPET.IS
MERCN.IS
MRBKF.IS
MBFTR.IS
MERIT.IS
MERKO.IS
METUR.IS
METRO.IS
MTRYO.IS
MHRGY.IS
MIATK.IS
MGROS.IS
MIPAZ.IS
MSGYO.IS
MPARK.IS
MMCAS.IS
MOBTL.IS
MOGAN.IS
MNDTR.IS
EGEPO.IS
NATEN.IS
NTGAZ.IS
NTHOL.IS
NETAS.IS
NIBAS.IS
NUHCM.IS
NUGYO.IS
NRHOL.IS
NRLIN.IS
NURVK.IS
NRBNK.IS
NYB.IS
OBAMS.IS
OBASE.IS
ODAS.IS
ODINE.IS
OFSYM.IS
ONCSM.IS
OPET.IS
ORCAY.IS
ORFIN.IS
ORGE.IS
ORMA.IS
OMD.IS
OSMEN.IS
OSTIM.IS
OTKAR.IS
OTOKC.IS
OTOSR.IS
OTTO.IS
OYAKC.IS
OYA.IS
OYYAT.IS
OYAYO.IS
OYLUM.IS
OZKGY.IS
OZGYO.IS
OZRDN.IS
OZSUB.IS
PAMEL.IS
PNLSN.IS
PAGYO.IS
PAPIL.IS
PRFFK.IS
.IS
PRDGS.IS
PRKME.IS
PARSN.IS
PBT.IS
PBTR.IS
PATEK.IS
PASEU.IS
PSGYO.IS
PCILT.IS
PGSUS.IS
PEKGY.IS
PENGD.IS
PENTA.IS
PEGYO.IS
PSDTC.IS
PETKM.IS
PKENT.IS
PETUN.IS
PINSU.IS
PNSUT.IS
PKART.IS
PLTUR.IS
POLHO.IS
POLTK.IS
PRZMA.IS
QYHOL.IS
QNBFF.IS
QNBFL.IS
QNBVK.IS
FNY.IS
QNBFI.IS
FIN.IS
QNBFB.IS
QUAGR.IS
QUFIN.IS
RNPOL.IS
RALYH.IS
RAYSG.IS
REEDR.IS
.IS
RYGYO.IS
RYSAS.IS
RODRG.IS
ROYAL.IS
RGYAS.IS
RTALB.IS
RUBNS.IS
SAFKR.IS
SANEL.IS
SNICA.IS
SANFM.IS
SANKO.IS
SAMAT.IS
SARKY.IS
SARTN.IS
SASA.IS
SAYAS.IS
SDTTR.IS
SEKUR.IS
SELEC.IS
SELGD.IS
SELVA.IS
SNKRN.IS
SRVGY.IS
KHSTR.IS
SEYKM.IS
SHTRP.IS
SILVR.IS
SNGYO.IS
SKYLP.IS
SMRTG.IS
SMART.IS
SODSN.IS
SOKE.IS
SKTAS.IS
SONME.IS
SNPAM.IS
SUMAS.IS
SUNTK.IS
SURGY.IS
SUWEN.IS
SMRFA.IS
SMRVA.IS
SEKFA.IS
SEKFK.IS
SEGYO.IS
SKY.IS
SKYMD.IS
SEK.IS
SKBNK.IS
SOKM.IS
DRPHN.IS
T.C. HAZİNE VE MALİYE BAKANLIĞI DARPHANE VE DAMGA MATBAASI GENEL MÜDÜRLÜĞÜ.IS
.IS
TOKI.IS
T.C. TOPLU KONUT İDARESİ BAŞKANLIĞI.IS
.IS
TABGD.IS
TAC.IS
TCRYT.IS
TAMFA.IS
TNZTP.IS
TARKM.IS
TATGD.IS
TATEN.IS
TAVHL.IS
TEBFA.IS
TEBCE.IS
TEKTU.IS
TKFEN.IS
TKNSA.IS
TMPOL.IS
TERA.IS
TRA.IS
TETMT.IS
TFNVK.IS
TGSAS.IS
TRYKI.IS
TOASO.IS
TRGYO.IS
TLMAN.IS
TSPOR.IS
TDGYO.IS
TRMEN.IS
TVM.IS
.IS
TSGYO.IS
TUCLK.IS
TUKAS.IS
TRCAS.IS
TUREX.IS
MARBL.IS
TRKFN.IS
.IS
TRILC.IS
FNCLL.IS
TCELL.IS
TBA.IS
TRKSH.IS
TRKNT.IS
TMSN.IS
TUPRS.IS
THYAO.IS
TÜRK HAVA YOLLARI A.O..IS
PRKAB.IS
TTKOM.IS
TTRAK.IS
TBORG.IS
TURGG.IS
GARAN.IS
TGB.IS
HALKB.IS
THL.IS
EXIMB.IS
THR.IS
ISATR.IS
ISBTR.IS
ISCTR.IS
ISKUR.IS
TIB.IS
KLN.IS
KLNMA.IS
TSK.IS
TSKB.IS
TURSG.IS
SISE.IS
TVB.IS
VAKBN.IS
TÜRKİYE VAKIFLAR BANKASI T.A.O..IS
UFUK.IS
ULAS.IS
ULUFA.IS
ULUSE.IS
ULUUN.IS
UMPAS.IS
USAK.IS
UZERB.IS
ULKER.IS
UNLU.IS
VAKFN.IS
VKGYO.IS
VKFYO.IS
VAKVK.IS
VAKKO.IS
VANGD.IS
VBTYZ.IS
VDFLO.IS
VRGYO.IS
VERUS.IS
VERTU.IS
VESBE.IS
VESTL.IS
VKING.IS
VDFAS.IS
YKFKT.IS
YKFIN.IS
