AGHOL.IS
AGESA.IS
AKBNK.IS
AKCNS.IS
AKENR.IS
AKSA.IS
AKSEN.IS
AKGRT.IS
ALARK.IS
ALBRK.IS
ALCTL.IS
ANSGR.IS
AEFES.IS
ANHYT.IS
ARCLK.IS
ASELS.IS
ATAKP.IS
AYGAZ.IS
BASGZ.IS
BIMAS.IS
BIOEN.IS
BIZIM.IS
BOBET.IS
BRISA.IS
CCOLA.IS
CEMTS.IS
CIMSA.IS
DOCO.IS
DOAS.IS
EBEBK.IS
EKGYO.IS
ENJSA.IS
ENKAI.IS
EREGL.IS
FROTO.IS
GWIND.IS
SAHOL.IS
HTTBT.IS
INDES.IS
KLKIM.IS
KRDMD.IS
KRVGD.IS
KMPUR.IS
KCAER.IS
KCHOL.IS
KORDS.IS
KOZAL.IS
KOZAA.IS
LOGO.IS
LKMNH.IS
MAVI.IS
MGROS.IS
MPARK.IS
ODAS.IS
ORGE.IS
OTKAR.IS
OZKGY.IS
PGSUS.IS
PETKM.IS
ROYAL.IS
SELEC.IS
SUNTK.IS
SOKM.IS
TAVHL.IS
TKFEN.IS
TKNSA.IS
TOASO.IS
TRGYO.IS
TRCAS.IS
TCELL.IS
TUPRS.IS
THYAO.IS
TTKOM.IS
TTRAK.IS
GARAN.IS
HALKB.IS
ISCTR.IS
TSKB.IS
TURSG.IS
SISE.IS
VAKBN.IS
ULKER.IS
VESBE.IS
VESTL.IS
YKBNK.IS
YATAS.IS
ZOREN.IS
